dataset,f1_minority,f1_majority,precision_minority,precision_majority,recall_minority,recall_majority,accuracy,auc_roc
dataset_950_arsenic-female-lung.csv,0.7847619047619048,0.9945037526011065,1.0,0.9891233685729098,0.7,1.0,0.9892857142857142,0.8493055555555555
dataset_951_arsenic-male-lung.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_954_spectrometer.csv,0.8402308802308802,0.9833637150092883,0.9195959595959596,0.9753758364984627,0.7818181818181819,0.991578947368421,0.9698818550520191,0.9914234449760766
dataset_958_segment.csv,0.9862122101816759,0.9977314076727712,0.9938446969696969,0.9964786083433477,0.9787878787878789,0.998989898989899,0.9961038961038963,0.9998010407101316
dataset_962_mfeat-morphological.csv,0.9871445010685516,0.9986153394605234,1.0,0.9972390741970193,0.975,1.0,0.9975000000000002,0.9950208333333332
dataset_966_analcatdata_halloffame.csv,0.7044862067673255,0.9748879300391167,0.8668317793317794,0.960179034865979,0.6000000000000001,0.9901234567901234,0.9537313432835821,0.9583703703703703
dataset_968_analcatdata_birthday.csv,0.0,0.9216993464052289,0.0,0.8547945205479452,0.0,1.0,0.8547945205479452,0.9196369222175674
dataset_971_mfeat-fourier.csv,0.9741539828148756,0.9972322093625078,1.0,0.9944842198098195,0.95,1.0,0.9949999999999999,0.9999166666666668
dataset_976_JapaneseVowels.csv,0.8801469985243735,0.9788604138502587,0.9555384262319538,0.9654147283502234,0.8159721554525701,0.9926924581035651,0.9640605573321889,0.9929555642663687
dataset_978_mfeat-factors.csv,0.963071163071163,0.9961333397801735,1.0,0.9923105539757524,0.93,1.0,0.993,0.9950833333333333
dataset_980_optdigits.csv,0.8521253453762665,0.9856514150383034,0.9954800817160369,0.9721019261246091,0.7466971777269261,0.9996039603960396,0.9738434163701069,0.9934679606285499
dataset_984_analcatdata_draft.csv,0.0,0.9512619194983645,0.0,0.9120932576412029,0.0,0.9939846223428311,0.907108478341355,0.63909026297086
dataset_987_collins.csv,0.9793103448275862,0.9964912280701753,1.0,0.993103448275862,0.9625,1.0,0.994,1.0
dataset_995_mfeat-zernike.csv,0.9232817594922859,0.9919931225871889,0.9779114452798663,0.9862816761844917,0.875,0.9977777777777778,0.9855,0.9936458333333335
